ID,Rank,constraints_task_id
116101043,2,1
265470465,3,2
955985026,2,4
530094354,4,4
477796597,3,4
520014121,1,3
998836967,1,1
986872507,1,3
551724839,2,2
172821704,4,2
813017714,3,2
641642963,2,4
710693527,4,3
443564733,1,3
943663945,2,1
290084985,3,4
733175983,4,4
135920364,3,1
353734380,4,4
158829090,4,2
149092101,1,3
154037312,3,3
189731149,3,2
125993700,4,4
725709315,1,3
693328685,4,2
623944825,2,4
709053382,1,1
235447709,2,3
467632725,1,1
315893860,1,3
337642746,1,4
773087500,4,2
798074302,2,3
488942174,1,4
432431038,4,4
702517134,1,4
850034584,1,4
725872185,2,1
922745663,1,2
393366839,1,4
608564625,4,2
511839019,2,1
158978080,1,1
950392648,3,3
968453478,4,2
943442592,1,3
691226834,4,3
851979465,3,1
338116895,3,1
456998313,1,2
381203856,1,1
226637063,1,2
404232797,2,1
209761266,1,4
