ID,Rank,constraints_task_id
933288403,2,2
394429896,3,4
910191733,4,1
602755422,3,4
889932918,3,2
570191545,4,1
887430958,2,2
982759039,2,2
136198002,1,1
104313674,4,1
293145229,3,3
520983975,2,3
917646636,4,2
157640583,2,3
409406685,3,1
908864297,4,4
260460545,2,2
304135758,4,2
467592049,2,1
750420498,3,4
117920530,2,2
757996195,1,4
189034565,2,1
429250796,4,3
767186596,3,2
443969303,3,1
851962374,1,1
936899602,1,2
303083505,2,4
754279475,1,4
199417557,2,3
822420479,4,4
584824925,2,4
352883847,1,2
463571878,3,3
666381347,4,2
343291203,2,4
149715762,3,1
904030460,3,2
704859198,2,3
120233045,4,4
491722368,3,1
723572439,3,2
490045253,3,4
393851259,3,2
949203176,3,1
931600291,1,4
868109737,4,2
303957461,3,1
500820615,2,4
435606732,3,1
590526702,4,1
441108582,1,3
780526716,4,1
525385831,2,2
353326024,3,2
533910609,4,1
335344697,4,4
629966943,3,4
156631512,2,3
