ID,Rank,constraints_task_id
590152670,1,1
507957934,4,1
125078956,4,1
392219286,1,3
356891648,3,1
614170622,2,3
463225341,4,4
360303107,4,3
913668742,4,3
222898345,1,1
947437801,1,1
677124308,2,3
782669128,4,3
793982795,4,4
738785994,2,4
613582202,1,1
405191927,1,4
464520932,3,4
696292911,4,2
190405929,4,2
528890402,1,3
138585965,2,1
576811887,3,4
986845944,1,3
302402038,1,2
697871686,2,4
534888138,2,2
153050962,3,4
976831939,3,1
690517482,4,3
517007854,1,2
205914353,3,3
346112710,4,3
952264145,4,3
128906083,1,2
716414467,4,1
719046052,1,1
753687954,4,1
116725958,2,3
377841807,2,2
504413758,1,2
753911342,3,4
716482889,1,1
601333619,1,1
726306214,4,1
638370431,1,3
902356451,2,4
648205582,3,3
279711200,1,4
202494279,4,4
