ID,Rank,constraints_task_id
109886996,4,1
223165234,3,1
199713566,1,1
961968452,3,1
938205159,4,1
512665262,2,2
262587487,4,4
288949564,2,1
278735338,3,4
317768159,4,1
558497100,1,1
792259808,1,2
930265963,1,1
514982132,4,3
459247109,1,3
575986643,4,2
956548131,2,4
670330770,3,3
146191254,2,3
495660548,1,4
388293697,3,1
646780980,4,1
936353214,2,1
678706874,2,4
963755886,2,3
754075746,4,3
537792216,4,4
895830802,3,4
752621176,3,3
308116420,1,1
324422662,1,4
431500509,4,1
998730025,2,2
395220424,2,4
577900196,1,1
471084361,1,1
136635619,2,1
427552595,4,4
436301684,2,1
838295353,1,2
