ID,Rank,constraints_task_id
293980318,1,1
781338496,3,3
216798174,1,2
812737329,3,4
737114461,4,1
693455396,1,1
317458585,4,2
461476204,3,2
142332429,3,3
802165759,3,1
934373883,2,1
663986810,4,4
862317148,3,2
207740366,1,1
647363786,3,3
312735722,2,1
245232005,1,2
739874378,3,1
851508618,2,3
385225706,1,4
387774196,3,2
219804426,4,3
683500809,2,1
176169291,3,3
899030720,2,3
650052974,2,1
253851181,4,1
230397360,2,1
438843451,4,3
504332310,4,4
675526999,1,1
337086785,4,2
891410151,3,4
849847112,2,1
759683474,2,2
320637596,2,1
204682799,2,2
899228865,1,4
124074526,2,4
515634303,4,1
878118631,4,3
631985382,2,2
589756368,3,3
791631183,3,1
605993387,4,4
