ID,Rank,constraints_task_id
890744502,3,4
954219203,4,4
176301556,1,2
307272344,2,3
144775554,3,1
478557413,4,3
159673602,2,1
154248127,1,3
231199867,3,4
657086845,1,3
294693994,4,3
609711464,4,3
748669297,2,4
344426800,4,1
219650930,2,1
237892004,3,4
478229055,4,2
440328949,4,4
629404145,2,4
995967228,2,2
222094399,1,1
216650973,4,2
316726299,4,4
585067943,2,3
162542164,4,1
375952361,2,3
368668398,1,1
582101604,1,2
344242026,3,4
993015016,2,1
261958574,3,4
964280013,3,4
979859650,3,1
395075707,2,3
354931342,2,1
861729237,3,1
147579102,1,2
123392322,2,3
486361007,2,1
461263624,4,3
369689638,4,3
868567677,4,2
885472487,1,3
609250934,2,1
222012586,4,2
194957811,3,1
118680884,1,3
917982851,1,4
964370545,4,3
238111442,3,3
817751907,2,2
522127846,2,1
647972891,3,3
465350155,3,2
210851291,4,2
562169466,4,1
410307262,1,4
648481206,4,4
384260668,3,4
136428438,4,1
666319126,3,1
653614689,3,3
415180741,2,2
953633328,1,2
330229491,2,3
338883221,4,1
289643009,1,4
250060958,4,4
231786045,4,4
963390810,2,2
