ID,Rank,constraints_task_id
917116971,4,2
934795708,1,1
995197542,2,3
548340872,4,4
327828465,4,2
234973558,3,3
548946952,3,3
891133489,2,4
954436610,4,1
554139678,2,1
810753938,3,4
777590203,3,1
427296215,2,2
270977242,2,4
491262822,3,4
318478240,4,2
371266436,3,4
507670051,1,2
771701595,4,2
549238681,1,3
815385333,4,1
348326947,1,2
771815208,4,3
970149127,4,3
298867636,2,3
610583164,3,3
673025986,1,1
974701086,3,3
105676786,2,2
887983264,2,4
581124277,4,3
453587170,1,2
971847298,3,4
611938044,2,1
693024656,3,1
712798657,4,1
126930199,3,4
418724711,2,4
791351510,2,4
657446581,1,4
547297602,1,1
420092615,2,2
192000255,2,1
854953381,4,2
762907721,4,3
645895792,3,4
571540068,4,2
577958945,2,4
579298635,1,3
543053095,1,2
260719875,1,1
954574077,1,4
831372407,2,1
963868146,3,2
630827839,1,3
680934638,4,4
254605145,3,2
927294545,2,3
806745024,1,4
763207929,3,2
353159770,4,3
772188683,3,3
191272491,2,1
188087856,2,3
487951035,1,3
